Decay_Sheme,Isotope,Energy (keV),Intensity (%),Intensity_Error
137Cs,137Cs,661.657,85.1,0.2
60Co,60Co,1173.228,99.85,0.03
60Co,60Co,1332.492,99.9826,0.006
238U,226Ra,186.211,3.64,0.04
238U,214Pb,241.995,7.26,0.04
238U,214Pb,295.224,18.47,0.11
238U,214Pb,351.932,35.72,0.24
238U,214Bi,609.321,45.44,0.19
238U,214Bi,665.446,1.54,0.011
238U,214Bi,768.36,4.889,0.025
238U,214Bi,934.056,3.094,0.019
238U,214Bi,1120.294,14.9,0.08
238U,214Bi,1155.210,1.634,0.01
238U,214Bi,1238.122,5.83,0.03
238U,214Bi,1280.976,1.435,0.009
238U,214Bi,1509.211,2.127,0.016
238U,214Bi,1661.274,1.046,0.008
238U,214Bi,1729.595,2.87,0.03
238U,214Bi,1764.491,15.29,0.08
238U,214Bi,2118.513,1.156,0.01
238U,214Bi,2204.1,4.92,0.03
238U,214Bi,2447.69,1.545,0.011
232Th,228Ac,209.253,3.89,0.07
232Th,212Pb,238.632,43.6,0.5
232Th,228Ac,463.004,4.4,0.07
232Th,208Tl,583.187,85,0.3
232Th,212Bi,727.33,6.67,0.09
232Th,208Tl,860.557,12.5,0.1
232Th,208Tl,2614.511,99.754,0.004
40K, 40K, 1460.820, 10.66, 0.17
238U, 214Bi, 1847.433, 2.027, 0.016
